Date,Open,High,Low,Close,Adj Close,Volume
2024-04-30,8.405000,8.405000,8.218000,8.218000,8.218000,11800
2024-05-01,8.230000,8.265000,8.182000,8.225000,8.225000,3600
2024-05-02,8.350000,8.400000,8.305000,8.400000,8.400000,12200
2024-05-03,8.420000,8.500000,8.420000,8.450000,8.450000,13800
2024-05-06,8.525000,8.549000,8.460000,8.490000,8.490000,12800
2024-05-07,8.586000,8.620000,8.560000,8.560000,8.560000,33300
2024-05-08,8.560000,8.560000,8.313000,8.340000,8.340000,11000
2024-05-09,8.545000,8.700000,8.520000,8.520000,8.520000,31500
2024-05-10,8.704000,8.738000,8.490000,8.490000,8.490000,14300
2024-05-13,8.500000,8.500000,8.221000,8.480000,8.480000,19400
2024-05-14,8.808000,8.808000,8.575000,8.740000,8.740000,30800
2024-05-15,8.750000,8.750000,8.570000,8.650000,8.650000,11600
2024-05-16,8.805000,8.830000,8.760000,8.760000,8.760000,6300
2024-05-17,8.779000,8.779000,8.615000,8.770000,8.770000,5600
2024-05-20,8.648000,8.908000,8.630000,8.842000,8.842000,9700
2024-05-21,8.565000,8.620000,8.550000,8.560000,8.560000,15900
2024-05-22,8.660000,8.660000,8.380000,8.390000,8.390000,10300
2024-05-23,8.800000,8.800000,8.410000,8.440000,8.440000,24800
2024-05-24,8.630000,8.630000,8.534000,8.550000,8.550000,7100
2024-05-28,8.540000,8.540000,8.500000,8.500000,8.500000,11700
2024-05-29,8.610000,8.730000,8.610000,8.720000,8.720000,34100
2024-05-30,8.853000,8.920000,8.830000,8.883000,8.883000,33500
2024-05-31,9.122000,9.280000,9.122000,9.215000,9.215000,17700
2024-06-03,9.380000,9.420000,9.380000,9.410000,9.410000,10300
2024-06-04,9.500000,9.710000,9.500000,9.680000,9.680000,50100
2024-06-05,9.600000,9.830000,9.600000,9.800000,9.800000,8000
2024-06-06,9.590000,9.620000,9.570000,9.620000,9.620000,5600
2024-06-07,9.535000,9.555000,9.500000,9.500000,9.500000,5000
2024-06-10,9.439000,9.480000,9.428000,9.470000,9.470000,6600
2024-06-11,9.178000,9.230000,9.170000,9.230000,9.230000,8700
2024-06-12,9.350000,9.350000,9.010000,9.010000,9.010000,16000
2024-06-13,8.970000,9.180000,8.970000,9.020000,9.020000,10600
2024-06-14,8.800000,9.030000,8.800000,8.810000,8.810000,8900
2024-06-17,9.040000,9.070000,8.960000,9.070000,9.070000,11000
2024-06-18,9.010000,9.290000,9.010000,9.206000,9.206000,14100
2024-06-20,9.150000,9.160000,9.100000,9.160000,9.160000,8300
2024-06-21,9.100000,9.100000,9.058000,9.070000,9.070000,8300
2024-06-24,9.220000,9.380000,9.180000,9.350000,9.350000,45900
2024-06-25,9.430000,9.470000,9.410000,9.470000,9.470000,16100
2024-06-26,9.410000,9.490000,9.410000,9.430000,9.430000,3400
2024-06-27,9.433000,9.458000,9.390000,9.390000,9.390000,4200
2024-06-28,9.355000,9.480000,9.285000,9.410000,9.410000,2000
2024-07-01,9.383000,9.467000,9.300000,9.300000,9.300000,10200
2024-07-02,9.550000,9.590000,9.510000,9.530000,9.530000,12900
2024-07-03,9.520000,9.580000,9.520000,9.580000,9.580000,1900
